City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
211,Gao,ML,77.77,16.64,1.64,
213,San Lawrenz,MT,66.0,36.06,14.2,San Andrea Hotel
217,Safaga,EG,75.2,26.73,33.94,Lamar Resort Abu Soma
222,Waipawa,NZ,66.2,-41.41,175.52,Tora Coastal Walk
223,Puerto Baquerizo Moreno,EC,66.72,-0.9,-89.6,Hotel los Algarrobos
225,Taoudenni,ML,84.9,22.68,-3.98,
226,Simpang,ID,71.46,-1.27,104.08,Sk 7 rt 1 dusun 3 rantau makmur berbak
229,High Rock,BS,78.8,26.62,-78.28,Ocean Pearl Bonefishing Resort
230,Kirakira,SB,84.72,-10.45,161.92,SanBiz Lodge
232,Kuruman,ZA,68.0,-27.45,23.43,Cornerstone Guest House
234,Axim,GH,77.47,4.87,-2.24,AXIM BEACH RESORT AND SPA
240,Dickinson,US,75.2,29.46,-95.05,Candlewood Suites League City
241,Irece,BR,76.37,-11.3,-41.86,RADAR INN HOTEL
244,Porbandar,IN,80.62,21.64,69.61,Lords Inn Porbandar
250,Umm Kaddadah,SD,77.81,13.6,26.69,
252,Kavaratti,IN,81.43,10.57,72.64,Hotels in Lakshadweep Islands
253,Geraldton,AU,73.4,-28.77,114.6,Broadwater Mariner Resort
254,Puerto Ayacucho,VE,75.52,5.66,-67.62,Posada Turistica Manapiare
258,Loa Janan,ID,79.05,-0.58,117.09,Asrama Polisi Polsek Loajanan Res Kukar
259,Benghazi,LY,72.0,32.12,20.07,Tibesti Hotel
261,Prado,BR,72.79,-17.34,-39.22,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
262,Carnarvon,AU,71.6,-24.87,113.63,Hospitality Carnarvon
267,Mogadishu,SO,79.63,2.04,45.34,Hotel Juba
270,Souillac,MU,73.4,-20.52,57.52,Bils' Villa
271,Padang,ID,80.53,-0.95,100.35,Mercure Padang
272,Goroka,PG,73.27,-6.08,145.39,Bird of Paradise Hotel
275,Ridgecrest,US,68.0,35.62,-117.67,SpringHill Suites by Marriott Ridgecrest
277,Lorengau,PG,84.9,-2.02,147.27,Lorengau Harbourside Hotel
278,Ciudad Bolivar,VE,79.12,8.12,-63.55,Hotel Edi
279,Colomi,BO,69.8,-17.35,-65.87,Residencial EL TURISMO
282,Todos Santos,MX,80.01,23.45,-110.22,Hotel California Todos Santos
283,Maceio,BR,75.2,-9.67,-35.74,Mercure Maceio Pajucara Hotel
284,Rewa,IN,70.79,24.53,81.3,OYO 71149 Jeet Residency
285,Nortelandia,BR,77.36,-14.45,-56.8,Hotel Karysmã
286,Rantepao,ID,78.33,-2.97,119.9,Hotel Luta Resort
288,Quang Ngai,VN,76.41,15.12,108.8,Central Hotel
295,Tamale,GH,78.22,9.4,-0.84,Tap Hotel
296,Tura,IN,71.24,25.52,90.22,Hotel RIKMAN Continental
298,Isangel,VU,82.4,-19.55,169.27,Volcano Sea View Tree House
300,Labrea,BR,74.14,-7.26,-64.8,Hotel Novo Horizonte
303,Avera,US,71.6,33.19,-82.53,
307,Meulaboh,ID,77.13,4.14,96.13,Kost Pria
309,Biak,ID,84.0,-0.91,122.88,Kost Ariz
310,Sao Filipe,CV,82.02,14.9,-24.5,Tortuga B&B
311,Puerto Gaitan,CO,79.84,4.31,-72.08,Brisas del Yucao
313,Sabang,ID,82.45,5.89,95.32,Hotel Citra
316,North Augusta,US,73.4,33.5,-81.97,Ramada by Wyndham Augusta Downtown Hotel & Conference Center
317,Tartus,SY,70.0,34.89,35.89,Antaradus Hotel
318,Puerto Quijarro,BO,80.98,-17.78,-57.77,Hotel palance
319,Meadow Lake,US,70.0,34.8,-106.54,JKL Inc. R.V Park and Storage
321,Anloga,GH,77.0,5.79,0.9,Pin Drop Hotel
